,Coverages,Variants,Read Mean Length,Read Count,Filtered Read Count,Total Base,Filtered Total Base,q20,Filtered q20,q30,Filtered q30,Duplication,R1,R2,Total_fastq_size
Coverages,1.0,0.5520925194739739,0.12900920985180406,0.9915412535609291,0.9919026269782144,0.9996555515382859,0.999672341936908,0.9996869848358942,0.9996856281945107,0.9995820459004703,0.9995630235775207,0.29199349094185734,0.9613133929260778,0.9571316843303509,0.9596433392912938
Variants,0.5520925194739739,1.0,0.3828170280771809,0.5065384555867956,0.507016595565941,0.5533013304774833,0.5529218193006018,0.5518962468708031,0.5513100198366837,0.5483544395001909,0.5477636269195132,-0.008487120543443935,0.4710990408903977,0.4749965244349355,0.4733032581605028
Read Mean Length,0.12900920985180406,0.3828170280771809,1.0,0.004398556229837839,0.007087949524685779,0.1302730669555685,0.13155704111680877,0.12806950055471508,0.1284454410021917,0.12275801568885135,0.12301203719793168,-0.031126591976447154,0.12847749528536656,0.13183968122346848,0.13024739748315395
Read Count,0.9915412535609291,0.5065384555867956,0.004398556229837839,1.0,0.9999727710771263,0.9917853617424341,0.9916152555842473,0.9920492140888117,0.9919954695052771,0.992585893600183,0.9925308100353265,0.29940571359954193,0.95195312257721,0.947269119663776,0.9500233073488964
Filtered Read Count,0.9919026269782144,0.507016595565941,0.007087949524685779,0.9999727710771263,1.0,0.992115032006581,0.9919858070591772,0.9923976218543601,0.9923673308463952,0.9929404542483548,0.9929054892158893,0.29988131713393196,0.9523199974955802,0.9475616485668938,0.9503525647688841
Total Base,0.9996555515382859,0.5533013304774833,0.1302730669555685,0.9917853617424341,0.992115032006581,1.0,0.9999825208090025,0.9999693544997124,0.9999451062323935,0.9997841454385938,0.9997456146719079,0.29037124637495015,0.9615024881972406,0.9573753214252793,0.9598602478098348
Filtered Total Base,0.999672341936908,0.5529218193006018,0.13155704111680877,0.9916152555842473,0.9919858070591772,0.9999825208090025,1.0,0.999975040650077,0.9999726905320329,0.9998111118533287,0.9997915251359955,0.29100213243729633,0.9615076499047753,0.9573050297186967,0.9598270571850042
q20,0.9996869848358942,0.5518962468708031,0.12806950055471508,0.9920492140888117,0.9923976218543601,0.9999693544997124,0.999975040650077,1.0,0.9999927301310234,0.9999116286732602,0.9998878968340283,0.2934925463511068,0.9615383008135395,0.9572457046366488,0.9598119863682457
Filtered q20,0.9996856281945107,0.5513100198366837,0.1284454410021917,0.9919954695052771,0.9923673308463952,0.9999451062323935,0.9999726905320329,0.9999927301310234,1.0,0.999924381677837,0.999913327587897,0.2940869531106249,0.9615038854722362,0.9571546863278084,0.9597487822256582
q30,0.9995820459004703,0.5483544395001909,0.12275801568885135,0.992585893600183,0.9929404542483548,0.9997841454385938,0.9998111118533287,0.9999116286732602,0.999924381677837,1.0,0.9999944513506831,0.300139989846011,0.9612062373648195,0.9565819568013937,0.9593111676778265
Filtered q30,0.9995630235775207,0.5477636269195132,0.12301203719793168,0.9925308100353265,0.9929054892158893,0.9997456146719079,0.9997915251359955,0.9998878968340283,0.999913327587897,0.9999944513506831,1.0,0.3007013940584805,0.9611493332392865,0.9564725174239591,0.9592275320565622
Duplication,0.29199349094185734,-0.008487120543443935,-0.031126591976447154,0.29940571359954193,0.29988131713393196,0.29037124637495015,0.29100213243729633,0.2934925463511068,0.2940869531106249,0.300139989846011,0.3007013940584805,1.0,0.3138598919499835,0.28356492908510983,0.2986095582975442
R1,0.9613133929260778,0.4710990408903977,0.12847749528536656,0.95195312257721,0.9523199974955802,0.9615024881972406,0.9615076499047753,0.9615383008135395,0.9615038854722362,0.9612062373648195,0.9611493332392865,0.3138598919499835,1.0,0.9981055582306564,0.9995108810658258
R2,0.9571316843303509,0.4749965244349355,0.13183968122346848,0.947269119663776,0.9475616485668938,0.9573753214252793,0.9573050297186967,0.9572457046366488,0.9571546863278084,0.9565819568013937,0.9564725174239591,0.28356492908510983,0.9981055582306564,1.0,0.99954142748057
Total_fastq_size,0.9596433392912938,0.4733032581605028,0.13024739748315395,0.9500233073488964,0.9503525647688841,0.9598602478098348,0.9598270571850042,0.9598119863682457,0.9597487822256582,0.9593111676778265,0.9592275320565622,0.2986095582975442,0.9995108810658258,0.99954142748057,1.0
